Artist,Title,Price,Low Estimate,High Estimate,Signature,Signed?,Height,Width,Depth,Edition,Year Created,Medium,Auction Lot,Auction Date,Auction Year,Auction House,
Syed Haider Raza,Prakriti,-not sold-,60000,70000,Signed and Dated,1,198.1,39.4,,,2008,Acrylic / Canvas,69,3/12/2008,2008,Saffron Art,
Ram Kumar,Untitled,28180,18000,22000,Signed and Dated,1,73.7,53.3,,,2008,Acrylic / Paper,70,3/12/2008,2008,Saffron Art,
Francis Newton Souza,Untitled,6670,4000,6000,Signed and Dated,1,25.4,20.3,,,1956,Ink / Paper,71,3/12/2008,2008,Saffron Art,
Francis Newton Souza,Untitled,8050,4000,6000,Signed and Dated,1,25.4,20.3,,,1953,Ink / Paper,72,3/12/2008,2008,Saffron Art,
Francis Newton Souza,Untitled,4658,4000,6000,Signed and Dated,1,26.7,20.3,,,1957,Ink / Paper,73,3/12/2008,2008,Saffron Art,
Francis Newton Souza,Untitled,4888,4000,6000,Signed and Dated,1,26.7,20.3,,,1954,Ink / Paper,74,3/12/2008,2008,Saffron Art,
Francis Newton Souza,Untitled,4888,4000,6000,Signed and Dated,1,25.4,20.3,,,1951,Ink / Paper,75,3/12/2008,2008,Saffron Art,
Francis Newton Souza,Nude,30480,36000,44000,Signed and Dated,1,120.7,88.9,,,2001,Acrylic / Canvas,76,3/12/2008,2008,Saffron Art,
Krishen Khanna,The Kiss of Judas,21510,12000,14000,Signed Lower Right,1,76.2,61,,,N/A,Oil / Canvas,77,3/12/2008,2008,Saffron Art,
Akbar Padamsee,Untitled,-not sold-,80000,100000,Signed and Dated,1,74.9,74.9,,,1987,Oil / Canvas,79,3/12/2008,2008,Saffron Art,
K M Adimoolam,Untitled,-not sold-,8000,10000,Signed and Dated,1,86.4,96.5,,,2003,Oil / Canvas,81,3/12/2008,2008,Saffron Art,
Prabhakar Barwe,From the Terrace,-not sold-,20000,24000,Signed and Dated,1,90.2,119.4,,,1991,Enamel / Canvas,82,3/12/2008,2008,Saffron Art,
Arpita Singh,Threat,64980,70000,90000,Signed and Dated,1,91.4,91.4,,,1991,Oil and acrylic / Canvasboard,83,3/12/2008,2008,Saffron Art,
Jogen Chowdhury,Untitled,2473,1800,2400,Signed Lower Left,1,29.2,20.3,,,2004,Pastel / Paper on board,84,3/12/2008,2008,Saffron Art,
Jogen Chowdhury,Hand,-not sold-,15000,18000,Signed and Dated,1,27.9,35.6,,,2002,Pen and ink and pastel / Paper,85,3/12/2008,2008,Saffron Art,
Manu Parekh,Benares,5230,3000,4000,Signed and Dated,1,44.5,59.7,,,2008,Acrylic / Canvas,86,3/12/2008,2008,Saffron Art,
K Laxma Goud,Untitled,2760,3000,5000,Signed and Dated,1,16.5,26.7,,,2002,Colored Pencil / Paper,87,3/12/2008,2008,Saffron Art,
Manjit Bawa,Untitled,106380,120000,140000,Unavailable,0,120.7,97.8,,,N/A,Oil / Canvas,88,3/12/2008,2008,Saffron Art,
Nalini Malani,A) Baby Boy b) After Bhupen Khakhar (2),3795,4000,5000,Unavailable,0,54.6,58.8,,,2006,Mixed Media on acrylic,89,3/12/2008,2008,Saffron Art,
Thotha Vaikuntam,Untitled,7480,6000,8000,Signed and Dated,1,39.4,29.2,,,2006,Acrylic / Canvasboard,90,3/12/2008,2008,Saffron Art,
Surendran Nair,Regarding Roots (Study for a Painting),5460,6000,8000,Signed and Dated,1,72.4,53.3,,,2002,Watercolor / Paper,91,3/12/2008,2008,Saffron Art,
S Harsha Vardhana,Untitled,7820,1800,2400,Signed and Dated,1,78.7,124.5,,,2004,Mixed Media / Canvas,92,3/12/2008,2008,Saffron Art,
Rekha Rodwittiya,Within the Circle (The Papad Maker),2852,1800,2400,Signed and Dated,1,44.5,44.5,,,1997,Acrylic and oil / Canvas,94,3/12/2008,2008,Saffron Art,
Atul Dodiya,The Final Act,16390,10000,12000,Signed and Dated,1,31.8,31.8,,,2006,Watercolor / Paper on board,95,3/12/2008,2008,Saffron Art,
Gopikrishna,Man Ascending the Mount of Pain - Series Tradition of Death,4313,5000,7000,Signed and Dated,1,80,133.3,,,2007,Oil / Canvas,97,3/12/2008,2008,Saffron Art,
Ashim Purkayastha,Untitled,4658,6000,8000,Unavailable,0,55.9,76.2,,,N/A,Watercolor and ink / Board,98,3/12/2008,2008,Saffron Art,
Jagannath Panda,Untitled,22430,30000,36000,Inscribed and Signed,1,228.6,198.1,,,2007,Acrylic and fabric / Canvas,101,3/12/2008,2008,Saffron Art,
Riyas Komu,Oxygen - An Illusion,14950,20000,25000,Signed and Dated,1,105.4,166.4,,,2002,"Oil , enamel and marble grain / Canvas",105,3/12/2008,2008,Saffron Art,
Dhananjay Singh,Part & Whole,-not sold-,10000,12000,Unavailable,0,87.6,125.7,106.7,,2008,Bronze and copper wire,106,3/12/2008,2008,Saffron Art,
Om Soorya,Untitled,2760,3000,4000,Signed and Dated,1,74.9,90.2,,,2007,Oil / Canvas,107,3/12/2008,2008,Saffron Art,
Prajakta Palav Aher,Untitled,2933,4000,5000,Signed on Reverse,1,69.8,94,,,N/A,Gouache / Paper,108,3/12/2008,2008,Saffron Art,
Prajakta Potnis,Praise,2070,1800,2400,Signed and Dated,1,85.1,83.8,,,2006,Gouache / Paper,109,3/12/2008,2008,Saffron Art,
Piyali Ghosh,Untitled,2300,2000,3000,Signed and Dated,1,182.9,242.6,,,2007,Acrylic / Canvas,110,3/12/2008,2008,Saffron Art,
Maqbool Fida Husain,Homage to Cimabue IV,24610,18000,22000,Signed and Dated,1,36.8,26.7,,,2000,Watercolor / Paper,1,6/18/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,201250,175000,225000,Signed and Dated,1,30,60,,,1966,Oil and ink / Canvas,3,6/18/2008,2008,Saffron Art,
Jehangir Sabavala,"Dark Silhouettes, The Moon",146630,125000,150000,Signed and Dated,1,130.8,90.2,,,2003,Oil / Canvas,4,6/18/2008,2008,Saffron Art,
Syed Haider Raza,Untitled,87400,70000,90000,Signed and Dated,1,73.7,45.7,,,1959,Oil / Paper,5,6/18/2008,2008,Saffron Art,
Syed Haider Raza,A) Tribhuj b) Bindu c) Prakriti; (set of 3),98900,70000,90000,Signed and Dated,1,49.5,49.5,,,2007,Acrylic / Canvas,6,6/18/2008,2008,Saffron Art,
Francis Newton Souza,Untitled,232300,100000,125000,Signed and Dated,1,58.4,73.7,,,1964,Oil / Board,7,6/18/2008,2008,Saffron Art,
Francis Newton Souza,Still Life,21850,15000,18000,Signed and Dated,1,31.8,24.1,,,1962,Oil / Paper on board,8,6/18/2008,2008,Saffron Art,
Francis Newton Souza,St Sabastian,218500,120000,150000,Signed and Dated,1,91.4,61,,,1955,Oil / Board,9,6/18/2008,2008,Saffron Art,
Krishen Khanna,In Search of an Ancestor,57500,50000,60000,Signed Lower Right,1,111.8,67.3,,,1997,Oil / Canvas,10,6/18/2008,2008,Saffron Art,
Jagdish Swaminathan,Untitled,460000,175000,225000,Unavailable,0,86.4,86.4,,,N/A,Oil / Canvas,12,6/18/2008,2008,Saffron Art,
Badri Narayan,Untitled,17250,15000,18000,Signed Initials,1,55.9,76.2,,,N/A,Watercolor / Paper,13,6/18/2008,2008,Saffron Art,
B Prabha,Untitled,50600,35000,40000,Signed and Dated,1,76.2,90.2,,,1993,Oil / Canvas,14,6/18/2008,2008,Saffron Art,
Arpita Singh,Untitled,28750,25000,30000,Signed and Dated,1,40.6,27.9,,,1995,Mixed Media / Paper,16,6/18/2008,2008,Saffron Art,
Manjit Bawa,Untitled,117880,70000,90000,Signed and Dated,1,59.7,54.6,,,1995,Oil / Canvas,20,6/18/2008,2008,Saffron Art,
Nalini Malani,On Saving Trees,18110,12500,15000,Signed and Dated,1,78.7,55.9,,,1996,Mixed Media / Paper,21,6/18/2008,2008,Saffron Art,
Jayashri Chakravarty,Untitled,40250,30000,35000,Signed and Dated,1,82.6,110.5,,,2004,Oil and acrylic / Canvas,22,6/18/2008,2008,Saffron Art,
Baiju Parthan,Sublimation,6610,3750,4750,Signed and Dated,1,36.8,27.9,,,1994,Mixed Media / Paper,24,6/18/2008,2008,Saffron Art,
Sudarshan Shetty,Recalling the Broken Sentence,32780,25000,30000,Signed and Dated,1,90.2,141,,,2005,Oil and acrylic and enamel / Canvas,29,6/18/2008,2008,Saffron Art,
Anandajit Ray,Untitled,9550,2250,3000,Signed and Dated,1,68.6,49.5,,,2007,Mixed Media / Paper,30,6/18/2008,2008,Saffron Art,
Bari Kumar,Surrender and Devotion,24440,6250,7500,Signed and Dated,1,74.9,58.4,,,2002,Oil / Canvas,31,6/18/2008,2008,Saffron Art,
Bose Krishnamachari,Plot,86830,35000,40000,Signed,1,137.2,228.6,,,N/A,Oil and acrylic / Canvas,32,6/18/2008,2008,Saffron Art,
Gopikrishna,Puli Kavadi,35080,30000,37500,Signed and Dated,1,137.2,182.9,,,2007,Oil / Canvas,33,6/18/2008,2008,Saffron Art,
Anjum Singh,Work in Progress,16960,12500,15000,Signed and Dated,1,203.2,273.1,,,2006,Oil / Canvas,34,6/18/2008,2008,Saffron Art,
TV Santhosh,Untitled,140880,30000,40000,Signed and Dated,1,91.4,121.9,,,2002,Oil / Canvas,36,6/18/2008,2008,Saffron Art,
Arunanshu Chowdhury,Untitled,14090,8750,11250,Signed and Dated,1,167.6,137.2,,,2008,Mixed Media / Canvas,37,6/18/2008,2008,Saffron Art,
Anant Joshi,Long Happy Hours; Thereby Happiness - Ext 21,28750,20000,22500,Signed and Dated,1,152.4,142.2,,,2006,Oil / Canvas,38,6/18/2008,2008,Saffron Art,
G R Iranna,Untitled,37380,30000,37500,Signed and Dated,1,132.1,167.6,,,2005,Acrylic on tarpaulin,39,6/18/2008,2008,Saffron Art,
Jagannath Panda,The Urbanscape III,129380,45000,55000,Signed and Dated,1,152.4,228.6,,,2007,Acrylic / Canvas,40,6/18/2008,2008,Saffron Art,
Sudhansu B Sutar,Untitled,21560,5000,6250,Signed and Dated,1,88.9,120.7,,,2005,Oil / Canvas,41,6/18/2008,2008,Saffron Art,
Jitish Kallat,Rubber,197230,55000,65000,Unavailable,0,181.6,120.7,,,N/A,Oil / Canvas,43,6/18/2008,2008,Saffron Art,
Farhad Hussain,Untitled,6040,5000,6000,Signed and Dated,1,102.9,121.9,,,2005,Tempera / Cloth,45,6/18/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,66130,37500,45000,Signed Lower Right,1,71.1,52.1,,,N/A,Watercolor / Paper,46,6/18/2008,2008,Saffron Art,
Paritosh Sen,Untitled,5030,4375,5630,Signed and Dated,1,48.3,12.7,,,2005,Acrylic / Paper,49,6/18/2008,2008,Saffron Art,
Syed Haider Raza,Germination,1056250,687500,937500,Signed and Dated,1,199.4,99.1,,,1992,Acrylic / Canvas,50,6/18/2008,2008,Saffron Art,
Francis Newton Souza,Enchanted Garden,97750,50000,62500,Signed and Dated,1,39.4,49.5,,,1973,Oil / Canvas on board,51,6/18/2008,2008,Saffron Art,
Francis Newton Souza,Untitled,408250,100000,125000,Signed and Dated,1,130.8,76.2,,,1961,Oil / Canvas,52,6/18/2008,2008,Saffron Art,
Francis Newton Souza,Louis Armstrong,71880,20000,25000,Signed and Dated,1,26.7,20.3,,,1956,Ink / Paper,53,6/18/2008,2008,Saffron Art,
Ram Kumar,Untitled,115000,100000,120000,Signed and Dated,1,90.2,90.2,,,2001,Oil / Canvas,55,6/18/2008,2008,Saffron Art,
Krishen Khanna,Betrayal,32490,22500,27500,Signed Lower Left,1,71.1,55.9,,,N/A,Oil / Canvas,58,6/18/2008,2008,Saffron Art,
Akbar Padamsee,Untitled,86250,75000,87500,Signed and Dated,1,61,91.4,,,2001,Oil / Canvas,59,6/18/2008,2008,Saffron Art,
Badri Narayan,Last Supper,55780,25000,30000,Inscribed,1,55.9,76.2,,,N/A,Mixed Media / Paper,60,6/18/2008,2008,Saffron Art,
B Prabha,Untitled (set of 2),13230,11250,13750,Signed,1,20.3,22.8,,,1956,Mixed Media / Board,62,6/18/2008,2008,Saffron Art,
Prabhakar Barwe,Circular Oneness,86250,75000,87500,Signed and Dated,1,105.4,120.7,,,1994,Enamel / Canvas,65,6/18/2008,2008,Saffron Art,
K M Adimoolam,Untitled,41400,12500,15000,Signed and Dated,1,104.1,104.1,,,1999,Oil / Canvas,67,6/18/2008,2008,Saffron Art,
Jogen Chowdhury,Two Men,232880,137500,162500,Signed and Dated,1,55.9,71.1,,,1992,Ink and pastel / Paper on board,68,6/18/2008,2008,Saffron Art,
Manjit Bawa,Untitled,100630,87500,100000,Signed and Dated,1,57.1,53.3,,,1997,Oil / Canvas,70,6/18/2008,2008,Saffron Art,
Nalini Malani,A) The Red Cloud b) Hieroglyphs 2002 (set of 2),71880,50000,62500,Signed and Dated,1,151.1,62.2,,,2005,Mixed Media on Mylar,71,6/18/2008,2008,Saffron Art,
Sujata Bajaj,Fragments,19260,7500,10000,Signed,1,49.5,49.5,,,2007,Acrylic / Canvas,75,6/18/2008,2008,Saffron Art,
Sudarshan Shetty,Spreading Milk Everywhere (Diptych),43130,35000,45000,Signed and Dated,1,121.9,365.8,,,2005,Oil / Canvas,77,6/18/2008,2008,Saffron Art,
Subodh (Suman) Gupta,Untitled,1427500,200000,250000,Signed and Dated,1,166.4,228.6,,,2006,Oil / Canvas,79,6/18/2008,2008,Saffron Art,
N S Harsha,Untitled (set of 2),14380,12500,15000,Signed and Dated,1,29.2,20.3,,,2003,Watercolor / Paper,81,6/18/2008,2008,Saffron Art,
Sudhansu B Sutar,Untitled,44850,12500,15000,Signed Lower Right,1,167.6,228.6,,,2007,Mixed Media / Canvas,83,6/18/2008,2008,Saffron Art,
Alwar Balasubramaniam,Untitled,11500,10000,12500,Signed and Dated,1,38.1,53.3,,,1999,Mixed Media / Paper,84,6/18/2008,2008,Saffron Art,
Mithu Sen,Untitled,8910,6250,7500,Signed and Dated,1,76.2,55.9,,,2005,Mixed Media / Paper,85,6/18/2008,2008,Saffron Art,
G R Iranna,Prayer (Diptych),63830,60000,70000,Unavailable,0,167.6,264.2,,,2006,Acrylic on Tarpaulin,86,6/18/2008,2008,Saffron Art,
Hema Upadhyay,Bleeding Hearts,133980,25000,30000,Signed and Dated,1,180.3,110.5,,,2005,Mixed Media / Paper,87,6/18/2008,2008,Saffron Art,
Justin Ponmany,Riverbed (Diptych),235750,30000,40000,Signed and Dated,1,101.6,264.2,,,2005,Mixed Media / Canvas,88,6/18/2008,2008,Saffron Art,
Dhananjay Singh,Untitled,10060,5000,6250,Inscribed,1,76.2,27.9,40.6,,2007,Bronze and copper wire,89,6/18/2008,2008,Saffron Art,
Phaneendra Nath Chaturvedi,Anthropormhic - VIII (6 parts),9800,5000,6250,Signed and Dated,1,111.8,224.8,,,2007,Crayon and pencil / Paper,90,6/18/2008,2008,Saffron Art,
Maqbool Fida Husain,Gaja Gamini,115000,62500,75000,Signed Lower Right,1,147.3,63.5,,,N/A,Watercolor / Paper,91,6/18/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,135130,100000,125000,Signed Lower Right,1,90.2,61,,,N/A,Acrylic / Canvas,93,6/18/2008,2008,Saffron Art,
Syed Haider Raza,Untitled,36230,17500,20000,Signed and Dated,1,33,24.1,,,1963,Oil / Canvas,95,6/18/2008,2008,Saffron Art,
Francis Newton Souza,Lovers,218500,150000,180000,Signed and Dated,1,113,174,,,1964,Oil / Linen,98,6/18/2008,2008,Saffron Art,
Krishen Khanna,Study of Pieta,23580,20000,22500,Signed Lower Right,1,50.8,40.6,,,N/A,Oil / Canvas,101,6/18/2008,2008,Saffron Art,
Krishen Khanna,Potrait in Retrospect,14380,12500,15000,Signed and Dated,1,35.6,24.1,,,2005,Oil / Canvas,102,6/18/2008,2008,Saffron Art,
Jagdish Swaminathan,Untitled,218500,150000,175000,Unavailable,0,91.4,83.8,,,N/A,Oil / Canvas,104,6/18/2008,2008,Saffron Art,
Sakti Burman,Les Mysterieuses,37950,30000,40000,Signed Lower Right,1,58.4,44.4,,,N/A,Oil / Canvas,105,6/18/2008,2008,Saffron Art,
K M Adimoolam,Still Life with a Clock,3048,2500,3125,Signed and Dated,1,31.8,48.3,,,2006,Ink and wash / Paper,110,6/18/2008,2008,Saffron Art,
Bikash Bhattacharjee,Untitled,132250,112500,137500,Signed and Dated,1,88.9,151.1,,,1990,Oil / Canvas,112,6/18/2008,2008,Saffron Art,
K Laxma Goud,Untitled,17250,15000,17500,Signed and Dated,1,54.6,74.9,,,1967,Oil / Paper,113,6/18/2008,2008,Saffron Art,
K Laxma Goud,Untitled,19260,10000,12500,Signed and Dated,1,26.7,35.6,,,2004,Watercolor and pencil / Board,114,6/18/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,72390,37500,45000,Signed Lower Right,1,52.1,73.7,,,1974,Watercolor / Paper,116,6/18/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled (set of 2),18980,16500,17500,Signed,1,36.8,27.9,,,N/A,Pen and ink / Paper,117,6/18/2008,2008,Saffron Art,
Maqbool Fida Husain,Untitled,379500,225000,300000,Signed,1,53,50,,,N/A,Oil / Canvas,118,6/18/2008,2008,Saffron Art,
Meera Mukherjee,Untitled,44280,20000,22500,Unavailable,0,25.4,27.9,15.2,,N/A,Bronze,120,6/18/2008,2008,Saffron Art,
Meera Mukherjee,Untitled (set of 3),13230,11250,13750,Signed,1,25.4,17.8,,,N/A,Watercolor / Paper,121,6/18/2008,2008,Saffron Art,
Ram Kumar,Untitled,20700,18000,22000,Signed and Dated,1,43.2,55.9,,,1993,Acrylic / Paper,123,6/18/2008,2008,Saffron Art,
Akbar Padamsee,Untitled,34500,30000,37500,Unavailable,0,26.7,15.2,15.2,3 out of 4,N/A,Bronze,124,6/18/2008,2008,Saffron Art,
Akbar Padamsee,Untitled,7190,6250,7500,Signed and Dated,1,29.2,21.6,,,1960,Charcoal / Paper,126,6/18/2008,2008,Saffron Art,
Badri Narayan,Still-life with Winged Mermaid,5810,2250,3000,Signed Initials,1,19.1,19.1,,,1999,Watercolor and ink / Paper,127,6/18/2008,2008,Saffron Art,
Prabhakar Barwe,The Post Card,5750,5000,6000,Signed and Dated,1,22.9,30.5,,,1992,Tempera / Paper,129,6/18/2008,2008,Saffron Art,
